Disaster Type,Severity,Area Size (sq km),Population Affected,Duration (days),Age 0-12,Age 12-60,Age 60+,Females,Baby Food (kg),Elder Medicine (units),Sanitary Items (units),Clothing Supply (sets)
Earthquake,4,4652,44180,17,13205.848313405306,26242.429725623973,4731.7219609707245,21116.097590058078,5000.0,10000.0,8000.0,5000.0
Storm,5,616,799,1,91.94033170977929,448.3503836820916,258.7092846081291,374.80379138891266,17.536606403688932,257.9476379690659,182.63015120378125,254.4075445942305
Storm,2,1905,36731,18,8191.066088777441,25638.63359363594,2901.300317586618,17043.49259636528,5000.0,10000.0,8000.0,5000.0
Earthquake,5,2816,49789,3,7530.157502924894,30983.831230058273,11275.011267016831,22811.299264794758,4070.970191577744,10000.0,8000.0,5000.0
Storm,4,1176,13503,2,1604.107626734251,8313.203348774268,3585.689024491481,6124.882852307741,637.228292174621,7232.542208432726,5863.40088740483,5000.0
Storm,1,1725,4877,6,783.5051830122616,2962.3701994876174,1131.124617500121,2353.957810623929,1001.8591149307082,6476.651586650421,7718.983339905048,1644.4246579570463
Storm,5,1001,32193,15,7723.179320245654,16987.300220841254,7482.520458913092,14914.197337826792,5000.0,10000.0,8000.0,5000.0
Earthquake,4,1379,25416,26,7434.934421490829,16957.454148587643,1023.611429921526,13206.088042207744,5000.0,10000.0,8000.0,5000.0
Storm,1,4593,49112,1,14290.268732786157,31803.918674552515,3017.8125926613284,24822.94362269399,2921.914526025884,2969.2862038504086,8000.0,5000.0
Flood,1,3366,9535,5,1133.0573766281443,5361.365181009198,3040.577442362658,5224.713289040609,1059.4834900941935,10000.0,8000.0,4215.174570853755
Drought,1,1767,37320,23,4090.71181020666,25744.4237405981,7484.86444919524,20103.09120539632,5000.0,10000.0,8000.0,5000.0
Drought,5,4621,27763,24,8017.352523484059,19124.551418197207,621.0960583187334,14900.954399228758,5000.0,10000.0,8000.0,5000.0
Flood,1,2748,28174,5,6344.444853088343,18709.94117928234,3119.613967629317,14513.793196232133,5000.0,10000.0,8000.0,5000.0
Flood,3,763,34950,23,3992.6086527370007,19704.63965575339,11252.751691509606,18680.339211838244,5000.0,10000.0,8000.0,5000.0
Flood,2,1526,11438,29,1233.4426409032085,6675.093342152558,3529.4640169442337,6253.81863482886,5000.0,10000.0,8000.0,4263.827587540592
Earthquake,4,2153,23290,5,3440.3841729034043,14811.716984775343,5037.898842321254,12203.747503081937,3260.270533241875,10000.0,8000.0,5000.0
Flood,5,708,40054,17,4433.860015183823,27705.684223231925,7914.455761584253,21417.447149360476,5000.0,10000.0,8000.0,5000.0
Storm,5,3150,37359,25,7873.058466517354,20268.960286042035,9216.981247440614,20346.438192751706,5000.0,10000.0,8000.0,5000.0
Storm,2,1166,23814,23,4981.487630141809,15268.734191417447,3563.7781784407453,13023.047739380007,5000.0,10000.0,8000.0,5000.0
Storm,5,1201,39181,9,10358.35979661109,25124.755340443735,3697.884862945175,17950.18265743303,5000.0,10000.0,8000.0,5000.0
Drought,1,520,40362,25,8814.162655260936,23008.10177466361,8539.735570075456,21021.260941612913,5000.0,10000.0,8000.0,5000.0
Earthquake,3,4278,4848,18,939.2133584775048,2478.5916561011095,1430.1949854213858,2239.2029258067614,3122.526480547358,10000.0,8000.0,1818.051531957309
Storm,1,1224,34399,17,4010.1757149859386,20834.58076050054,9554.24352451352,16980.501627143392,5000.0,10000.0,8000.0,5000.0
Drought,5,4308,11103,5,1672.089967036909,7095.729939970621,2335.1800929924702,5080.104977633771,1560.466401545652,10000.0,8000.0,5000.0
Storm,3,2713,41530,25,11755.102561903597,28727.98219592957,1046.9152421668332,18928.80876738776,5000.0,10000.0,8000.0,5000.0
Drought,2,3729,19229,28,4167.524674956084,9913.45186683994,5148.0234582039775,10526.713775661274,5000.0,10000.0,8000.0,5000.0
Drought,5,2789,31571,29,3998.0575176878006,16266.644436865037,11306.298045447162,17176.303031449122,5000.0,10000.0,8000.0,5000.0
Storm,2,4982,37992,23,6924.080877862269,24904.533192733736,6163.385929403994,18921.422015026656,5000.0,10000.0,8000.0,5000.0
Earthquake,3,4794,46640,1,9035.969794567482,27189.43631780574,10414.593887626776,22263.170583484814,1646.8508544178076,10000.0,8000.0,5000.0
Storm,3,1470,23674,5,5805.436972511387,15421.628075430619,2446.9349520579926,11547.823390355497,5000.0,10000.0,8000.0,5000.0
Drought,1,4986,45643,2,7833.824187834588,23858.121836153532,13951.05397601188,23604.611536644217,3146.256631816991,10000.0,8000.0,5000.0
Storm,4,398,24385,27,4406.28593851786,12846.092269153774,7132.621792328366,11043.436556190078,5000.0,10000.0,8000.0,5000.0
Storm,4,1339,8117,15,1521.896788413322,5526.311224641151,1068.7919869455272,3935.3289625828133,4578.464700414282,10000.0,8000.0,3138.2433237248947
Earthquake,1,2190,37760,4,7244.987093609494,25239.474366221297,5275.538540169211,19895.43339120694,5000.0,10000.0,8000.0,5000.0
Storm,3,4148,12115,11,1395.3168440072927,6369.775566189503,4349.907589803204,5606.877533897342,2855.9864013738634,10000.0,8000.0,3084.0431667486923
Drought,1,3276,18371,3,3730.1803127820835,12760.902045288218,1879.9176419297,9372.7655151483,2114.4970543437353,6002.716862916105,8000.0,5000.0
Storm,5,533,18877,14,3262.964433400904,11339.101564385426,4274.934002213669,9797.908318003654,5000.0,10000.0,8000.0,4238.409573829656
Storm,3,2888,4532,26,1240.2281234170557,2342.60621576177,949.1656608211742,2310.086426878161,5000.0,10000.0,8000.0,1227.424038426423
Drought,2,374,39677,14,5140.0687899126715,20894.836075113075,13642.095134974254,20581.116575788797,5000.0,10000.0,8000.0,5000.0
Storm,3,1916,35954,25,8897.933355979434,19287.766913344916,7768.2997306756515,18206.980091844525,5000.0,10000.0,8000.0,5000.0
Flood,4,1613,7661,3,1760.2263558947527,4565.315696307862,1335.4579477973857,3895.005225239525,1106.1591530798553,4052.6412641845627,5943.624628910897,2829.4950682797867
Storm,1,2670,19223,26,4258.10680762987,10550.94014149941,4413.953050870721,9608.131549575019,5000.0,10000.0,8000.0,5000.0
Storm,4,3431,10689,24,2986.0051247663714,5516.023701475458,2186.971173758171,5370.700224311646,5000.0,10000.0,8000.0,3413.6035494599796
Drought,3,13,22450,6,6623.051561623689,13428.462018871942,2398.48641950437,11725.401736915888,5000.0,10000.0,8000.0,5000.0
Flood,4,1151,26486,20,5337.513697967295,14527.092834549163,6621.39346748354,12222.856814004255,5000.0,10000.0,8000.0,5000.0
Drought,5,2036,47462,1,8251.083422684538,28043.09329949258,11167.823277822885,23961.68011835806,1666.3630580275815,10000.0,8000.0,5000.0
Earthquake,5,2386,19316,9,4232.671582716224,11479.793131606972,3603.535285676804,9487.711909766864,5000.0,10000.0,8000.0,5000.0
Storm,5,385,36398,9,5132.131176463546,20959.632407102483,10306.23641643397,19751.190611981834,5000.0,10000.0,8000.0,5000.0
Flood,4,1324,21304,5,5601.139967961873,13486.272317942368,2216.58771409576,10701.138580928133,5000.0,10000.0,8000.0,5000.0
Earthquake,3,4680,18674,1,2734.667973834333,12696.731116265859,3242.6009098998074,9120.178466792335,551.697699345158,3506.2062772723148,4673.396502905391,4389.686203656397
Storm,3,1212,24619,10,3147.647831379986,16219.121226929083,5252.23094169093,12605.10711782041,5000.0,10000.0,8000.0,5000.0
Flood,5,960,2436,4,521.2502544693054,1589.4698716928642,325.27987383783056,1309.7801091151623,403.8298149886955,1384.7183237778775,2415.565495807609,1105.787334799586
Drought,4,3238,20203,5,3985.476041751453,11753.924288531643,4463.599669716903,10650.783165402636,3596.6554480481736,10000.0,8000.0,5000.0
Earthquake,5,4116,14253,8,3088.3166501603027,8269.167048626432,2895.5163012132653,7072.346871933983,5000.0,10000.0,8000.0,5000.0
Flood,1,1649,33695,11,9651.045105657064,20655.932524207677,3388.022370135259,17510.11495105319,5000.0,10000.0,8000.0,5000.0
Storm,1,4156,40064,14,11493.29601594116,27448.395380219416,1122.308603839425,19835.042857593515,5000.0,10000.0,8000.0,5000.0
Flood,1,1864,37530,19,8191.113420701438,21759.9142952492,7578.972284049363,17094.020430499084,5000.0,10000.0,8000.0,5000.0
Earthquake,4,546,34493,11,9816.433455085025,20459.17886382856,4217.387681086413,17180.40098852264,5000.0,10000.0,8000.0,5000.0
Storm,1,2000,5399,6,576.4827172342733,3035.8287301891514,1786.6885525765751,2850.939632504133,661.007144424244,10000.0,8000.0,1914.2268133943144
Flood,4,3442,49940,20,9135.265747785514,25822.472484769492,14982.261767444994,27451.390013718665,5000.0,10000.0,8000.0,5000.0
Earthquake,3,3399,2179,29,490.2645351568486,1254.1129678944258,434.6224969487257,1162.8374728163992,2893.2697686377487,10000.0,8000.0,780.7233211956466
Storm,4,2171,11585,6,2931.8305032304793,6031.108087610658,2622.061409158863,5600.609316903194,3219.504079112138,10000.0,8000.0,5000.0
Storm,4,4074,47290,23,6205.891265889429,30416.665340438685,10667.443393671885,24396.551321293107,5000.0,10000.0,8000.0,5000.0
Flood,1,3320,3400,3,943.473128109182,2078.570677652689,377.9561942381288,1775.0764527455724,600.6506529429151,1244.6994249798956,2717.5696626950203,1502.9871519418375
Drought,4,174,21489,23,6001.172080840069,10800.37966686444,4687.4482522954895,9853.799281953166,5000.0,10000.0,8000.0,5000.0
Drought,2,523,42980,15,9668.447885887786,24377.102908059984,8934.449206052232,22887.311310454596,5000.0,10000.0,8000.0,5000.0
Drought,1,3587,43961,12,5628.003063973804,29616.244137689628,8716.752798336565,21925.246290624687,5000.0,10000.0,8000.0,5000.0
Storm,1,2609,36901,13,6660.999831754435,20059.554137927855,10180.446030317711,18985.764384485603,5000.0,10000.0,8000.0,5000.0
Flood,3,2185,26765,4,5342.779803544413,13742.089915748795,7680.130280706791,13128.896507606109,4272.056720716478,10000.0,8000.0,5000.0
Earthquake,1,655,29502,8,4429.611189577651,18486.531813034282,6585.856997388066,14734.106712677929,5000.0,10000.0,8000.0,5000.0
Storm,2,3077,38809,11,5311.950212125977,20105.677420611275,13391.37236726275,20456.169278410638,5000.0,10000.0,8000.0,5000.0
Earthquake,3,1343,28869,23,6718.804574570858,19843.567548913285,2306.6278765158568,15105.912387436272,5000.0,10000.0,8000.0,5000.0
Earthquake,1,4470,38990,2,8759.747231957117,23193.10253324548,7037.150234797402,18888.252171240467,3399.8612397779416,10000.0,8000.0,5000.0
Flood,3,4236,28245,5,2837.7152176450218,19589.03384398183,5818.2509383731485,12725.08941051816,2612.4538342619667,10000.0,8000.0,5000.0
Flood,2,3650,28570,17,3914.8495553838725,17381.422013319938,7273.728431296189,15350.506253098898,5000.0,10000.0,8000.0,5000.0
Storm,1,3736,25164,13,5887.960615587437,12804.275814907392,6471.763569505172,12804.106918039137,5000.0,10000.0,8000.0,5000.0
Earthquake,5,4242,11222,16,1380.9389684874052,6557.604113499162,3283.456918013433,5942.432610557699,4635.592977107837,10000.0,8000.0,4003.228243801197
Earthquake,1,1192,35535,28,6972.406808479922,24057.18331981096,4505.409871709118,17875.047148818117,5000.0,10000.0,8000.0,5000.0
Drought,5,930,7664,18,1563.71367882212,4486.2251844405755,1614.061136737304,4120.676345593782,5000.0,10000.0,8000.0,1533.3461142056738
Flood,5,3820,30686,7,3126.8140032648184,15666.331238159448,11892.854758575733,14080.404309808948,3972.7019168565657,10000.0,8000.0,5000.0
Flood,2,930,24674,7,5045.927706878044,15950.614914094787,3677.457379027168,11111.556813704847,5000.0,10000.0,8000.0,5000.0
Flood,1,441,25380,21,7551.678850300095,14861.376426843235,2966.9447228566714,12396.421030491272,5000.0,10000.0,8000.0,5000.0
Earthquake,4,4815,906,24,250.8168548374283,561.8646784953262,93.3184666672455,489.5773914260796,1321.7088909124411,2348.64789901347,5363.793931800337,290.34950826044746
Flood,5,3574,34257,10,3747.3414199625263,19760.058415571148,10749.600164466327,15541.48259804235,5000.0,10000.0,8000.0,5000.0
Earthquake,1,3180,18397,17,2479.5301799781814,10656.432884350443,5261.036935671376,9673.581323752816,5000.0,10000.0,8000.0,4918.109960023714
Drought,5,2040,37543,14,10212.648213755621,22206.17464934366,5124.177136900718,18362.91865279557,5000.0,10000.0,8000.0,5000.0
Storm,1,4145,42620,5,10528.952667157911,23708.57654796284,8382.470784879246,20255.790438461292,5000.0,10000.0,8000.0,5000.0
Flood,4,1721,3120,28,359.50565632194736,2091.1531143664315,669.3412293116212,1558.48571642836,2005.4149319121102,10000.0,8000.0,949.5494185964527
Storm,3,2006,34180,6,6981.335494065315,23024.747256496372,4173.917249438313,16219.385949248735,5000.0,10000.0,8000.0,5000.0
Flood,2,4461,20770,27,5203.784920722441,11043.845607387428,4522.3694718901315,11176.068566856176,5000.0,10000.0,8000.0,4956.988144227037
Earthquake,5,3751,42634,18,11238.04122125842,28412.441708610073,2983.5170701315074,21348.83793611595,5000.0,10000.0,8000.0,5000.0
Flood,2,4805,37411,24,9866.623160063915,19666.578998516878,7877.7978414192075,17894.96430375637,5000.0,10000.0,8000.0,5000.0
Earthquake,5,287,13607,20,3232.7122046694335,6988.111772648815,3386.1760226817514,6532.671125544533,5000.0,10000.0,8000.0,4133.329226787665
Storm,3,2363,23921,15,7027.405435257804,15546.9842934245,1346.6102713176952,11075.629295016484,5000.0,10000.0,8000.0,5000.0
Earthquake,3,2516,29341,23,5550.746261560034,16276.19600307407,7514.0577353658955,16129.112995912743,5000.0,10000.0,8000.0,5000.0
Flood,3,1833,46866,14,6842.939181790236,24664.030406860384,15359.03041134938,25157.923387979845,5000.0,10000.0,8000.0,5000.0
Flood,3,4189,49001,19,7587.463826057437,34143.67774553591,7269.858428406653,24056.227564344343,5000.0,10000.0,8000.0,5000.0
Flood,4,1819,38258,12,7446.6129220411185,26537.22883303228,4274.158244926599,17925.883517977,5000.0,10000.0,8000.0,5000.0
Drought,3,4454,17443,12,1857.7708297731817,11933.969801889805,3651.2593683370123,8924.973143618525,4723.081189431078,10000.0,8000.0,4143.684732016726
Drought,4,1773,8812,6,1278.6919470428395,4689.438806703402,2843.8692462537583,4539.518954146156,1481.0092866682796,10000.0,8000.0,4364.631380610317
Flood,5,283,26689,18,5230.717511953061,16547.289681751216,4910.992806295722,12788.468256317261,5000.0,10000.0,8000.0,5000.0
Storm,3,1586,43508,12,12936.3432215734,22993.93921611181,7577.717562314792,21749.16257803616,5000.0,10000.0,8000.0,5000.0
Drought,1,11,6468,1,1788.4453172562344,3340.733040152129,1338.8216425916362,3443.8956855328724,347.51648312914705,1291.1849499915436,1886.3822855480828,1683.3469779687957
Storm,2,4248,3141,10,419.3125581751476,1636.1895172980703,1085.4979245267823,1613.3527413816566,873.256262380013,9838.054710045115,8000.0,677.1725405847825
Drought,1,725,36779,18,8277.516019601757,24152.200887481325,4349.283092916918,18802.37364627231,5000.0,10000.0,8000.0,5000.0
Storm,2,904,33382,9,4433.126134878279,19619.317220170753,9329.556644950968,17441.51602217158,5000.0,10000.0,8000.0,5000.0
Earthquake,4,4790,18411,29,4748.927843000037,11630.993770949324,2031.078386050638,9202.178133561874,5000.0,10000.0,8000.0,5000.0
Flood,3,2981,14125,19,3334.144784868398,7266.460505366173,3524.394709765429,6399.546659365701,5000.0,10000.0,8000.0,5000.0
Flood,4,4621,26063,20,5237.854431355545,15863.508308083476,4961.6372605609795,13067.977430269879,5000.0,10000.0,8000.0,5000.0
Earthquake,2,2989,45450,10,13563.491845536713,25305.23766505258,6581.270489410708,22084.84142983302,5000.0,10000.0,8000.0,5000.0
Storm,4,4583,46778,10,6900.160330657829,32476.98394181596,7400.855727526214,21896.673989384453,5000.0,10000.0,8000.0,5000.0
Earthquake,1,3165,41189,7,5465.9769575809005,23816.151482629873,11906.871559789226,22527.962414466816,5000.0,10000.0,8000.0,5000.0
Drought,4,4406,36242,11,10029.681169569,21324.969470927663,4887.349359503336,17508.10922934536,5000.0,10000.0,8000.0,5000.0
Drought,3,2370,17059,22,2277.7832421324824,8654.61557441186,6126.6011834556575,8932.778197500476,5000.0,10000.0,8000.0,5000.0
Drought,4,1284,34807,18,10349.464513458344,18259.548986498143,6197.986500043513,16467.64736688691,5000.0,10000.0,8000.0,5000.0
Earthquake,5,1018,34097,12,4421.311624640869,23776.72546050556,5898.962914853571,18634.415219237988,5000.0,10000.0,8000.0,5000.0
Earthquake,3,3259,9210,12,1901.395269418043,4836.615864747848,2471.9888658341097,4266.730196167555,4238.020550651515,10000.0,8000.0,2290.6611749519925
Flood,1,1024,42859,29,8089.638129834922,28871.0417760731,5898.320094091978,20045.796282592553,5000.0,10000.0,8000.0,5000.0
Storm,2,3729,402,8,101.98895690771282,210.09402945375646,89.9170136385307,212.87951694219544,176.84649482699228,733.8105244831196,926.6007340799542,180.1167693756524
Drought,5,2418,44733,28,5898.381057609281,27778.780764743195,11055.838177647522,21552.858412799935,5000.0,10000.0,8000.0,5000.0
Earthquake,1,1357,48608,6,8040.085583453181,30794.075857094944,9773.838559451877,25800.377554588074,5000.0,10000.0,8000.0,5000.0
Drought,1,2782,3826,1,663.0163664835936,2216.1513436194023,946.8322898970041,1987.7857532795413,129.64776118592803,937.1165829412784,941.7222728885096,1193.6184064321565
Drought,2,3348,39878,8,9317.197996155388,24879.807203634282,5680.994800210334,19793.42154786792,5000.0,10000.0,8000.0,5000.0
Flood,5,1187,4860,12,630.8200840030293,2941.878330945429,1287.3015850515421,2306.589854175827,1506.911739659021,10000.0,8000.0,2060.9447941260296
Drought,3,1014,24696,23,4597.714042524654,16777.05122037833,3321.2347370970165,11289.233754928233,5000.0,10000.0,8000.0,5000.0
Flood,3,973,7251,21,1138.2226824251804,4071.131907136101,2041.6454104387185,3845.2240785184645,4817.977639028741,10000.0,8000.0,3008.0425616377133
Flood,5,2147,20929,11,2608.6853858338527,14061.84262751389,4258.471986652257,11091.911854612936,5000.0,10000.0,8000.0,5000.0
Drought,4,1485,12249,7,3223.3210268567873,7039.524021507442,1986.15495163577,6156.9588629189675,4162.742521169006,10000.0,8000.0,4342.914198425364
Drought,1,3107,37484,15,8328.802277218114,21823.398232446903,7331.799490334983,20015.936107665617,5000.0,10000.0,8000.0,5000.0
Storm,3,3693,7327,7,1710.9276224217208,3803.4974488933226,1812.5749286849568,3754.251727190525,2372.1925083826513,10000.0,8000.0,3085.122178761807
Storm,1,640,15096,17,2048.36405821569,8490.810976438524,4556.824965345786,7140.7796158587125,5000.0,10000.0,8000.0,5000.0
Flood,1,779,17827,3,3911.4110774998994,11323.14437523453,2592.4445472655716,8811.381536677864,2321.402564433088,8126.562134103265,8000.0,5000.0
Storm,3,1251,33993,10,9555.60085313252,22249.25287483737,2188.1462720301097,16197.30909379183,5000.0,10000.0,8000.0,5000.0
Storm,1,3056,49959,13,10182.241618797256,25655.071212900693,14121.68716830205,26480.051077429736,5000.0,10000.0,8000.0,5000.0
Storm,4,2438,45213,3,6242.331604527702,23079.779518187082,15890.888877285215,22057.05545350666,3642.733286304143,10000.0,8000.0,5000.0
Storm,4,3629,47656,13,10817.531186537255,31022.510229420208,5815.958584042535,22257.62966216162,5000.0,10000.0,8000.0,5000.0
Drought,4,3729,39991,3,11414.853635760559,21872.21429909629,6703.932065143148,19592.854278913004,5000.0,10000.0,8000.0,5000.0
Flood,5,4047,26442,1,5862.11954471004,15901.36436283944,4678.516092450518,12320.131691320708,1069.9796258982487,4320.749057800409,5824.166448911024,5000.0
Flood,5,2827,30782,25,6487.628114721673,17271.929866135055,7022.442019143273,15073.88850585806,5000.0,10000.0,8000.0,5000.0
Earthquake,4,253,36975,15,6634.637059089016,22478.822715729777,7861.540225181208,18960.595320126824,5000.0,10000.0,8000.0,5000.0
Earthquake,4,82,12786,21,1337.144089228935,6786.274727931089,4662.5811828399765,6039.613415946984,5000.0,10000.0,8000.0,4763.411579834954
Flood,1,4269,8386,14,1072.062926888521,5699.564401295326,1614.3726718161524,4469.178154951481,2892.2302440574085,10000.0,8000.0,3353.494863383793
Storm,5,973,17020,15,4980.443839849548,10380.598540186638,1658.957619963814,9302.82931828278,5000.0,10000.0,8000.0,5000.0
Drought,5,4148,20833,2,4792.427871586146,11049.926753045826,4990.645375368029,9502.659678159656,2024.6135206620684,9901.0420190531,8000.0,5000.0
Flood,1,2140,45036,3,5175.805663696963,29567.8997781907,10292.294558112335,21461.398736019954,2905.3451716430136,10000.0,8000.0,5000.0
Drought,1,2158,1482,28,238.9735732011517,925.9227258768415,317.10370092200674,745.0075449517069,1318.4681979113152,8223.126230828642,8000.0,496.37425486596
Flood,3,2149,27705,14,3750.631671242097,15997.30341101973,7957.064917738175,15137.519614223856,5000.0,10000.0,8000.0,5000.0
Flood,2,910,30884,13,3163.2676008204,16931.853163300846,10788.879235878754,16911.688504664213,5000.0,10000.0,8000.0,5000.0
Drought,3,4808,22520,20,3450.1508281362344,11932.166951887595,7137.68221997617,10420.453865572135,5000.0,10000.0,8000.0,5000.0
Flood,4,3503,43504,17,12662.576040333379,28598.68898313007,2242.7349765365507,20948.946159262156,5000.0,10000.0,8000.0,5000.0
Storm,4,2289,25464,28,5791.539681089211,16089.95765500961,3582.5026639011776,13738.127814935124,5000.0,10000.0,8000.0,5000.0
Earthquake,5,2158,42091,13,4529.175522832543,27327.221934933612,10234.602542233846,21714.89646701671,5000.0,10000.0,8000.0,5000.0
Drought,2,1960,49617,4,8431.945030059964,32495.69685132334,8689.3581186167,25609.172560948078,5000.0,10000.0,8000.0,5000.0
Drought,2,1583,28370,16,8328.637837710703,15861.353667406884,4180.008494882415,14948.786070416785,5000.0,10000.0,8000.0,5000.0
Storm,4,1623,42700,9,12466.918464368433,25434.30021567839,4798.781319953174,23040.128330777934,5000.0,10000.0,8000.0,5000.0
Flood,5,3993,9603,28,1261.1397820518962,4885.498643065069,3456.3615748830352,4427.758886081268,5000.0,10000.0,8000.0,3505.3598712659013
Storm,1,3707,27513,20,4075.7357161295413,14425.073473233433,9012.190810637025,12924.150558751646,5000.0,10000.0,8000.0,5000.0
Earthquake,1,4885,44050,18,10008.78342845976,23972.56830250735,10068.648269032892,24132.340013116627,5000.0,10000.0,8000.0,5000.0
Drought,3,1378,43641,28,4740.929000783478,23259.036674649673,15641.034324566848,20213.327540233055,5000.0,10000.0,8000.0,5000.0
Drought,4,470,43385,11,10917.271341111116,28143.188191786736,4324.540467102146,22178.15388240601,5000.0,10000.0,8000.0,5000.0
Flood,5,371,36595,8,5464.942609433759,23614.473292912084,7515.5840976541585,20097.278516962997,5000.0,10000.0,8000.0,5000.0
Storm,5,3977,39313,7,8766.627912506186,25065.057602341818,5481.314485151997,19166.109262335456,5000.0,10000.0,8000.0,5000.0
Drought,1,1047,14044,2,3535.3702445437902,8927.430437635523,1581.1993178206867,7381.898085542756,1510.8674478899202,3143.626039078762,7384.924978947821,3334.2452645790704
Earthquake,5,1053,18413,24,2641.1942231576522,9714.046608443801,6057.7591683985465,9506.709242886756,5000.0,10000.0,8000.0,4604.456702518522
Drought,1,2330,27866,7,5467.158109913345,17512.808620975014,4886.033269111642,12720.421026386239,5000.0,10000.0,8000.0,5000.0
Storm,2,3269,28831,19,5756.1419150675265,14859.83344914438,8215.024635788093,13142.758184103315,5000.0,10000.0,8000.0,5000.0
Drought,3,441,16144,4,2009.5300740515345,10446.80050222696,3687.669423721505,7645.568508057569,1566.2830425856346,10000.0,8000.0,5000.0
Flood,4,1846,12548,17,2854.803672514489,7519.179157570535,2174.017169914976,5870.271195471944,5000.0,10000.0,8000.0,5000.0
Storm,5,509,30368,10,5068.487763302999,15343.108328940349,9956.403907756652,13739.065548585268,5000.0,10000.0,8000.0,5000.0
Flood,3,1459,25222,14,3659.920684677366,14512.305812596152,7049.773502726483,12514.48250249315,5000.0,10000.0,8000.0,5000.0
Storm,4,4743,15178,7,3024.8574740897475,8915.10399285864,3238.038533051613,7937.347589448609,4459.679293280186,10000.0,8000.0,3651.9212782432132
Earthquake,4,4653,23352,24,2601.6683696648183,12993.92651364712,7756.405116688062,11119.535112660089,5000.0,10000.0,8000.0,5000.0
Storm,2,214,49833,12,6541.894891767404,33418.903040614816,9872.202067617778,22656.576372406776,5000.0,10000.0,8000.0,5000.0
Earthquake,2,681,8027,11,2349.3334246864333,4912.7940017296405,764.8725735839262,4364.137390273962,4705.699501183488,8276.95023075289,8000.0,3365.2899657700955
Storm,5,3662,34621,5,7376.559748704741,20522.861324327376,6721.578926967883,18944.629651717347,5000.0,10000.0,8000.0,5000.0
Drought,2,607,19546,1,4000.639750744673,10221.654473911145,5323.705775344182,10476.929044620805,835.7839404869482,4863.384487620788,5456.211878976219,5000.0
