Disaster Type,Severity,Area Size (sq km),Population Affected,Duration (days),Rice Supply (kg),Vegetables Supply (kg),Dry Food Supply (kg),Water Supply (liters)
Storm,3,4680,18674,1,7069.547189533734,4033.2662232531725,2736.0535400377003,71296.76273923108
Drought,3,3120,2070,6,5405.0171980223495,2547.4453607658807,1801.4858320212304,43618.15767085681
Earthquake,5,2045,25153,7,71458.7794543678,38719.36946313309,27743.876092450668,694016.280391239
Earthquake,1,2253,19129,2,16106.491551925388,8228.171989249242,5557.450906271196,154110.56110534142
Earthquake,4,3238,20203,5,40295.75208350291,19835.124288531646,15976.174748103951,345040.7463661069
Earthquake,3,1965,33661,11,151041.81615403722,78894.36515086782,60640.11249774052,1357336.048516926
Storm,2,2359,25038,12,130081.88218810578,55754.01180909792,41470.090297312236,1081732.8657974384
Drought,4,2740,20015,12,97323.49504275649,49925.26379515009,39071.27704113488,946760.6534183699
Storm,1,613,44509,9,157801.0550752785,83904.8027340315,65307.1251942956,1645248.4029748132
Earthquake,1,2871,22216,21,174130.66214597714,87453.49591342677,74703.948082142,1706558.2858922093
Storm,3,2718,11794,9,44532.48988356462,19979.13897359362,16838.332365824655,410096.8966602197
Earthquake,4,546,34493,11,164607.66720237414,75364.03350042285,56695.323262124715,1556305.964755188
Drought,3,964,5071,27,50832.977652747286,25611.075081258907,20530.845610205142,509827.77843774937
Drought,1,4390,28834,11,130225.66346052714,57257.44884695793,49132.19407296085,1123199.7944752516
Drought,1,698,37111,22,350131.61007605976,164433.6956586254,114737.76707000862,2966373.905843596
Drought,5,999,26938,19,192850.66403754952,110513.71770120504,72245.81943212345,1817403.458118098
Flood,5,295,7411,8,24129.995943026384,11369.17283766612,9273.93425511418,225645.93821899185
Storm,4,2171,11585,6,29279.593207753154,12798.129705132791,10081.09677042575,240758.73178523235
Earthquake,2,1491,10193,2,8005.556384960465,3690.1810498596724,2847.609805497215,80493.93706196327
Flood,1,4418,11098,3,12601.31234220826,6887.719880215042,4514.377279319814,116039.91768434597
Earthquake,5,3685,35922,8,105741.52557484878,54522.954062426375,45022.62545426856,1165097.6615614134
Earthquake,4,174,21489,23,213369.8231437287,89221.50646757643,67991.21504547684,1761432.0040659993
Earthquake,5,924,13959,29,159379.74349999198,87320.51312131126,64576.78937012701,1483735.839436334
Storm,2,4812,37434,23,328417.357568237,176471.99899911054,126807.45189380756,3292739.316199275
Storm,5,3587,43961,12,195824.65470707428,113281.54593045512,78930.88664624888,2154269.786495926
Drought,1,3963,36054,17,233824.6551807602,123604.3343832604,94392.03610618209,2207559.6183159235
Storm,3,2551,41501,29,449800.11993741785,229744.4105751412,163140.4263766349,4932813.08066924
Flood,2,50,31753,2,25677.65025822144,13085.844127306942,10154.117489586886,226256.6938883127
Storm,5,2084,40860,6,102617.7897004019,46587.56514973126,37752.90963638135,926867.9060646233
Storm,5,3482,35837,21,293995.0195339538,151084.88119554572,102658.2601913301,2658385.3168779165
Earthquake,1,2876,21272,4,35879.81203455703,15548.129237166759,13623.641314828183,318012.6051638986
Drought,1,196,11146,8,36140.8935172795,17748.178490531573,13813.0269141917,366986.96428645536
Flood,1,1795,40583,15,231920.3540517838,124064.12859696506,83119.7312048841,2302425.319162455
Flood,3,491,47404,26,490461.3903937953,238828.89309117786,179386.2796427571,4583663.540638848
Flood,3,1649,45180,7,115774.77602907975,57910.56270873645,42717.295670379266,1309015.4586453806
Storm,2,2332,26312,12,134063.14059437052,68984.99676049223,50108.70123321527,1240638.4052752205
Flood,4,1351,44723,24,451528.48114347405,220636.064025892,169343.89928642448,4244727.42980826
Drought,1,3736,25164,13,135299.6352010547,59461.677118759224,49936.01698035263,1361853.9833281182
Storm,5,3167,29021,7,73684.60189694155,42233.613401215756,29237.01176402135,834176.0091239321
Storm,3,4832,34368,18,259577.8248813059,112710.38810412244,91961.12421035422,2351997.9153609006
Earthquake,1,1192,35535,28,396484.5562549752,214318.6265909414,150150.3960500722,3721584.732484213
Earthquake,4,48,28635,17,196213.49228079326,100506.71723813331,76492.85994153786,1849951.100431652
Flood,2,1141,15329,2,11096.726332876828,6585.45965104219,4158.392327935535,124736.64613803223
Flood,2,3820,30686,7,77491.71920914149,39117.02373342323,29568.84905059879,737836.4405932362
Drought,1,281,19995,12,105268.07900797432,50562.78091690611,35399.06885139691,893888.6121386548
Flood,1,3770,2150,13,10854.935144484778,5352.133192669264,4021.7043590023477,100154.38283787666
Flood,1,2642,4594,17,30562.12245727366,14446.372973990796,12784.05459443988,313218.1141511308
Flood,3,4815,906,24,9365.921806439314,4436.470456777567,3524.957218267773,90353.12536598914
Earthquake,4,4877,49088,22,441282.30746514373,216535.31119332497,153264.61901361687,3823115.689416329
Storm,1,2810,43613,3,55750.03416255894,27741.89620377544,20135.250410006814,467128.89296951034
Flood,3,1923,30548,29,337364.2127041052,177718.7205666809,132649.5614965437,3685954.039077435
Earthquake,3,4079,7387,29,86322.86174363969,43640.99486646377,32648.139231049186,744586.7781692696
Flood,3,2692,32384,9,105958.86758773944,62397.156738207435,39656.28185429386,1065444.1880221476
Flood,5,1428,15685,24,143126.97799445086,67835.72482852392,58676.2406520108,1296244.4772541823
Storm,5,3397,10003,13,56119.422059452525,28564.23844427708,17795.253377253717,529890.7254876015
Storm,5,2172,19229,3,22372.445582100307,11948.168711706989,8766.806394210755,208171.6387846964
Storm,3,2393,19723,28,236386.1325121537,118562.2407485938,86288.61611139054,2231131.5265012127
Flood,5,4461,20770,27,235653.6771438024,104499.96627989212,90526.15539153501,2280444.4318666565
Earthquake,2,2729,22990,21,202521.06808440204,90006.73080852651,77023.83898723326,1948745.9022505975
Flood,4,304,10277,13,54690.12425775341,29291.678182825675,20568.462570688618,481387.2903029509
Drought,5,4780,1107,6,2541.6771089903996,1200.4558763143698,982.798298598422,26850.098875053838
Drought,4,2392,25921,5,47720.661863698566,28187.679923531217,20171.277871163908,448154.99318831164
Earthquake,1,927,8173,22,69705.50791507868,36830.853423507964,24520.55076395078,731136.752054045
Drought,5,4821,12039,27,120401.8738090546,68368.56906505267,44121.91652867048,1112736.8788839325
Storm,3,2516,29341,23,267016.62560635235,128857.94161414074,111290.87967179791,2516570.019188437
Flood,1,48,3442,23,33730.54746762517,15194.72440815015,12682.267717153825,315993.21416952746
Drought,3,3788,44513,12,193633.78549616947,111772.57175577583,86685.8992400953,2166281.190275283
Drought,3,4675,45023,6,102219.23818609651,50927.54714143713,36720.94496646768,1053487.3564651571
Drought,2,2265,20094,8,59918.64567358947,30245.17532894639,22141.16622485328,566300.2215715097
Earthquake,2,4454,17443,12,75898.41998291128,45386.80752453554,32129.90331702669,839248.0496956629
Flood,1,3975,13647,20,107654.21527630877,51318.4487562236,40872.17446762823,943036.6767749623
Storm,5,126,35301,24,334365.203492061,185858.96547142073,118177.08931210155,3184038.200647187
Storm,2,1399,41225,11,188463.55286489872,97227.260162615,71828.41281565235,1558362.9606464086
Storm,3,1586,43508,12,229165.16746355235,96953.13411866834,78296.98528093017,2022831.6576522668
Drought,1,723,9227,18,64128.612227280944,33334.86624012773,22859.411861309065,609855.2669440836
Flood,5,927,43301,6,105326.2014098754,53930.16543086707,41313.72683846203,924393.3164076942
Earthquake,4,1905,6190,29,74769.15661293309,32538.601154306045,29275.633809696144,618563.1444021048
Drought,1,725,36779,18,271445.1553411327,139909.68319493282,101532.81768987047,2497934.5417983155
Earthquake,4,217,999,6,2549.7506266524156,1187.3678318961079,924.9181411502391,22807.090965085856
Storm,3,2144,44655,13,231243.6885777971,118790.59919471206,84099.51173738934,2184146.0196840735
Flood,5,3712,2456,23,20532.988777645878,10533.142346950584,7661.232121089011,220360.82372302352
Flood,1,1092,48870,28,514453.2726522724,283536.6847125313,187692.40244732235,4693069.689044181
Flood,4,3898,7105,21,62393.58088435857,31289.521059825725,22047.246988989755,547339.5620361681
Drought,4,965,39163,18,302672.23845500656,143205.23881866288,104441.93765732985,2788380.570175423
Drought,4,2635,27058,2,22914.688961254273,11158.739415209537,8916.368596412754,195974.4852543304
Flood,4,3724,48464,18,358122.1456894521,182604.66445320062,121210.71999768406,3444376.7520698947
Drought,2,949,625,14,3508.830643644064,1719.5609111266942,1199.3973563739876,32702.549244175454
Storm,4,4486,34514,14,193851.17489195286,93918.48508641958,73826.80438829854,1705820.833421158
Earthquake,1,2050,2213,3,2738.8459772711717,1281.3774734555102,1050.3176424430003,23273.48826676641
Flood,3,3091,44838,22,368513.3847090347,198067.42938871216,143141.82196038516,3979248.010674188
Flood,5,2370,17059,22,140139.85253076587,68104.1485274122,58956.33610350314,1467039.8922868082
Flood,1,3578,9947,12,47233.467769786264,25611.771993275983,18112.795582575658,455398.573714141
Drought,2,2391,16101,9,58324.939610648136,31512.523770590833,19733.75199404199,507027.49142566416
Storm,5,3838,38046,5,70054.99703309614,38690.27629380775,29608.58346971407,705242.7025665165
Storm,3,135,45372,18,357588.56307664484,165956.29350173482,116482.6859251189,3104628.7195208804
Earthquake,4,3933,39162,13,189124.42222147417,110777.79579954827,79923.00710163261,1796850.4738260144
Flood,1,1024,42859,29,491571.32230608515,266884.922301224,174398.42765855519,4885656.739584883
Earthquake,2,2484,22573,18,154209.07697285415,86640.40140491255,65391.47023716704,1620489.5950473796
Earthquake,1,4919,30759,1,12551.171913534374,6694.235403424102,4915.447116722809,120310.67380658037
Flood,2,3301,4133,18,30382.235369971215,14337.543636794657,11976.92514696155,309364.1802452184
Flood,1,3838,19714,9,65422.070842053596,36553.38718484372,28025.452630040243,728730.4273856878
Earthquake,2,1010,48506,19,395844.3184885559,179739.51226982905,132625.85638813794,3592312.6844907333
Flood,1,3157,37674,15,234880.83785380065,110502.92274435543,83896.68759240655,2026665.8077953823
Flood,3,3348,39878,8,131902.71358769725,65329.611525814864,47504.21171488301,1178473.9655030754
Storm,2,2511,26623,21,237666.9118218064,103070.71573258785,77975.16941434152,2127397.0337235313
Earthquake,4,2840,8334,16,53864.72737674164,27985.575819696605,20863.63258548737,506850.44323072827
Flood,3,1024,4531,15,24854.96508434394,14829.038757648552,10510.161458384448,251077.4178479373
Drought,5,150,37750,2,28184.642910768584,15454.402307387183,11377.286901177742,295489.0837141365
Flood,4,115,42741,2,32637.875586456317,16800.800171863604,11852.642010918868,302916.5845835711
Earthquake,4,3664,23586,24,239712.5828940958,106085.56621465653,92003.83935090921,2110211.4531591795
Storm,1,1718,13773,15,90098.61387865477,42158.69975932525,32967.53467239834,842049.0516616667
Flood,2,4626,16493,24,155515.37770084222,84547.51916945359,64125.058589426444,1454302.5949990004
Storm,3,1326,45205,24,461968.8581153489,213674.48424594465,168191.34710217908,3774241.6467229296
Drought,2,3050,42522,18,284910.0151375183,144973.215026604,123288.29519008251,2881317.335528326
Flood,1,671,11795,5,24259.821539091332,12047.634831133435,8928.86939744437,211253.40105503384
Storm,5,450,7521,25,82547.26979507234,34870.66337897919,29304.511643243964,698055.8440342168
Storm,5,4018,32596,11,157513.82272623057,66381.54171398054,49524.934183337675,1418026.047888211
Storm,5,4141,45899,5,99035.18678248336,43070.40366745312,33208.189699431045,821151.2163490156
Flood,4,1814,6804,28,69614.8003772064,40391.260760730154,27054.868684467616,726858.341655477
Storm,2,76,40847,29,469736.90775643394,222239.41161902176,161775.96587154883,4374599.039398705
Storm,1,3884,9786,20,71400.88474350606,39631.70931214499,32044.99262050179,692693.0709518285
Earthquake,1,4416,307,10,1128.9437360332345,607.9055509725052,484.09264259125223,11265.707746616152
Drought,4,2572,34547,13,165985.28183401178,98340.30202111027,60899.80670208609,1780520.9627611537
Drought,4,2378,32476,21,250588.74438001332,129771.48830070451,108189.84013222114,2769631.7548361346
Flood,4,1533,19269,29,202784.87654380943,107359.71713722423,79848.96201536247,2055897.7570660396
Flood,2,2506,38167,23,382204.03705885797,188677.409138573,122768.6327117264,3512865.897521793
Earthquake,4,253,36975,15,217287.82235453415,111806.46814718934,85322.6789405707,2172437.274212621
Storm,3,3929,31850,20,271042.7358076248,122878.01287552666,86432.50099529365,2244099.9764902717
Earthquake,2,4371,5756,2,4266.369922608333,2469.1004287968976,1872.803423315706,43460.170004748805
Storm,5,2956,35398,9,135721.04887078295,65835.69521212396,44172.30459510337,1200583.6439087407
Drought,1,4233,11971,28,129029.04208132658,67119.94714886784,49669.95131668464,1168628.9953805623
Storm,5,4148,20833,2,17167.062297268916,7753.250701218331,5701.595806895793,166561.35666956162
Storm,1,4747,36718,18,240987.72475967702,137340.93854392442,108728.8503000239,2371104.0684974967
Earthquake,5,1189,28961,14,149240.99426060086,84207.30338541011,55493.98376157079,1537535.3113369618
Earthquake,1,2158,1482,28,15955.224019852902,8504.847264910313,6258.063377594338,154740.45636612157
Earthquake,5,777,14918,7,41983.46765229578,20808.488019369983,14651.658510563764,386325.9315764941
Flood,2,2303,37705,15,229946.87880462466,117209.19351661083,79571.22491269179,2191627.887065079
Flood,5,2019,24917,13,141900.04020513757,68691.16811273001,53054.14578615341,1223062.6970103423
Earthquake,1,4805,10734,21,96375.43259589345,41458.88747459599,33732.581629818815,793476.8547654207
Drought,4,603,21323,3,24952.45581699918,12523.790122553866,9517.525509844876,255924.45803258356
Flood,1,4210,31011,17,217567.63491861313,114775.59283792936,83963.23036469013,1826358.9984815621
Flood,2,251,20381,28,241103.59707213074,121555.3015994497,85522.33982933615,2110881.6004817863
Storm,1,88,8180,28,90711.19409419072,49311.940409682604,31646.64103913199,951575.1680288918
Earthquake,5,1041,5040,8,14788.705126957342,8412.886360267496,5530.393212823995,139524.9949464659
Drought,1,1678,16631,21,136559.80177524712,69318.59718317073,57538.28230159057,1446373.3243540947
Earthquake,3,572,28238,26,270086.95242174243,151545.29332688346,115951.17708393757,2648319.0096891425
Storm,4,1256,35244,2,29138.895588599735,12717.241107004966,10055.987571254753,254028.88142715962
Flood,1,4322,20769,18,144219.73505909974,69164.26273750995,55788.47279998677,1305742.3176097965
Flood,5,3993,9603,28,100167.64555898124,48869.51240116439,37193.17464308266,1037781.5680966106
Flood,1,4593,38814,14,214724.23310240055,111134.03669476783,88732.3691378137,1950087.6068270747
Flood,4,3369,33553,17,234814.0506679474,109195.44073955226,90966.64349803915,2315005.0211228454
Flood,4,1266,44050,18,325791.24068491027,149733.24588902647,130314.63607082979,3150097.561223816
Storm,4,1769,29027,22,268372.3130872227,121826.65404431534,96546.9109521332,2527271.524428535
Storm,5,4318,24958,18,169401.33601974975,89953.97148769806,71978.3637334759,1779559.1557629663
Earthquake,5,1734,1476,24,14486.83043688557,6526.419582466882,4943.315802573653,123186.0385838098
Drought,1,3310,29906,8,94963.41621119888,43153.9428552157,34069.00274937208,946568.3278999388
Flood,4,1865,29645,2,22312.1818221718,11988.639465765304,9308.063914247983,229618.37045086603
Earthquake,2,2169,38000,9,138283.63742665199,61631.54111326705,53977.76519788826,1174164.8979258982
Flood,1,3499,40472,25,419158.69543718663,212731.5432341829,162150.16865641112,3806929.395937722
Earthquake,5,707,35047,15,208120.74813967664,109810.7521027148,84946.50158308177,2026821.2258796734
Flood,5,4927,2123,7,5353.786129233856,3043.288685759628,2164.7244488450706,59558.53937086232
Drought,1,3200,43690,4,70045.34186850359,36513.688673536126,24138.57134010448,625143.9814169602
Drought,4,3969,11105,24,110370.57877036562,56555.42672779676,38137.57854985715,1074358.751782501
Flood,3,4511,49915,13,272324.371069852,142288.89591338206,91685.78763757051,2615776.1530985697
Earthquake,5,4845,5569,23,53648.01652945355,24264.0716920607,18718.974898617384,442392.5760859687
Drought,3,1336,46126,25,501215.5710431059,237205.96239376027,170248.11577968177,4483546.676581767
Drought,3,408,34601,15,221714.99866233362,101391.30238190117,78971.33360552935,1998955.8614247157
Flood,4,147,34965,3,37982.032299317674,18982.603802935348,16778.05084189111,379008.1457973583
Flood,3,1910,19094,21,146151.36943449694,85852.19060166576,56844.57627676922,1480325.4456802886
Drought,5,2013,2196,21,18292.139717504375,9191.78370020353,6410.32687223801,159907.93769217664
Earthquake,2,2988,29412,24,295315.76836055866,148674.4947697215,98660.02105979355,2730685.6840080568
Drought,1,1629,14075,25,153603.70158349938,64308.08408021663,48105.40890015293,1273828.182219106
Drought,3,1984,19775,14,105192.94923426687,52844.57126714847,43681.9322685124,1037343.9548645011
Flood,4,850,30608,4,44404.75042381117,22344.590280217843,19857.628508635888,429970.0115824388
Drought,2,4010,30782,7,79060.42052635593,40826.15449058246,33823.699741322416,823450.8448996057
Drought,5,1459,12029,12,61061.6638692315,29588.022573892045,21628.300870205523,598758.3889635213
Flood,3,3680,34621,5,70146.71949740949,34371.26132432738,28416.94447757602,669423.8914498723
Flood,5,434,6404,18,48137.66133984371,22676.261426284742,15868.94378195201,452339.0693663642
Flood,1,1697,32416,29,403109.9488551075,196391.18820525522,128817.0177288349,3706043.60768155
Flood,2,1527,12585,2,10037.184443765063,4697.501807036387,4112.046670799914,101936.77223582737
Storm,2,107,11507,16,73058.03158715965,38658.2449164738,26460.13970433203,736859.7466283309
Storm,4,4676,48877,3,53396.63559386879,31005.290346155212,20680.970182151403,528205.3280518343
Drought,2,1101,30673,20,246335.39594970286,115450.25865761985,98972.50919229454,2498219.8215470943
Drought,3,3058,6923,26,75609.6647840695,36417.05668077591,27283.27036900983,625992.1837277357
Earthquake,4,1587,42071,3,46501.6521674101,26034.107494302698,20151.558186265087,466291.1449585169
Earthquake,5,4412,29550,24,265905.9329089793,130323.61621059128,103330.5316458402,2822554.85758834
Flood,5,4664,40946,16,282859.31445647625,131556.30154563722,97240.58399728878,2508364.9875696157
Storm,3,2934,358,27,3693.884701999513,2120.148742210614,1345.713528903579,34405.4103722393
Drought,5,697,20174,5,39866.43385686523,20639.20447155164,13870.020667586372,410993.72468450497
Drought,3,3968,40051,1,15756.899598475762,8785.764095509232,6209.410916162523,155676.08040797585
Drought,4,1135,1629,27,16404.720950922463,7939.120662043753,6676.297027004009,167387.92900792503
Flood,4,3079,23272,3,26180.50818312935,14963.459565728825,11140.672148512964,266409.5389961396
Earthquake,4,3000,46543,12,215098.39831809286,106214.59582559158,89126.67252457167,2274570.4783821325
Storm,2,4089,36216,28,432063.80437121645,186610.68935287328,144193.79592875822,3563337.0860907794
Flood,3,4443,5533,11,25081.14363669227,12467.003016097591,8859.902891265101,246098.06747451212
Earthquake,3,940,12676,20,106261.28010071786,46712.010459214565,36620.352423154785,864348.4439213058
